@babel/core,7.22.5,7.22.11,7.22.11,@babel/core
@json-editor/json-editor,2.6.1,2.10.1,2.10.1,@json-editor/json-editor
auto-reload-brunch,2.7.1,2.7.1,3.0.1,auto-reload-brunch
babel-brunch,6.1.1,6.1.1,7.0.1,babel-brunch
babel-loader,8.1.0,8.3.0,9.1.3,babel-loader
brunch,2.10.17,2.10.17,4.0.2,brunch
classnames,2.2.6,2.3.2,2.3.2,classnames
clean-css-brunch,2.10.0,2.10.0,3.0.0,clean-css-brunch
cookie-parser,1.4.3,1.4.6,1.4.6,cookie-parser
core-js,3.31.0,3.32.1,3.32.1,core-js
d3,4.13.0,4.13.0,7.8.5,d3
ejs,2.6.1,2.7.4,3.1.9,ejs
eslint,8.43.0,8.47.0,8.47.0,eslint
eslint-config-prettier,8.8.0,8.10.0,9.0.0,eslint-config-prettier
eslint-plugin-react,7.32.2,7.33.2,7.33.2,eslint-plugin-react
fs-extra,6.0.1,6.0.1,11.1.1,fs-extra
graphology,0.25.1,0.25.4,0.25.4,graphology
hashids,1.1.4,1.2.2,2.3.0,hashids
ip,1.1.5,1.1.8,1.1.8,ip
jquery,3.5.0,3.7.0,3.7.0,jquery
lokijs,1.5.8,1.5.12,1.5.12,lokijs
markdown-it,8.4.2,8.4.2,13.0.1,markdown-it
markdown-it-emoji,1.4.0,1.4.0,2.0.2,markdown-it-emoji
minimist,1.2.5,1.2.8,1.2.8,minimist
prettier,2.8.8,2.8.8,3.0.2,prettier
react,16.14.0,16.14.0,18.2.0,react
react-autosuggest,9.3.4,9.4.3,10.1.0,react-autosuggest
react-dom,16.14.0,16.14.0,18.2.0,react-dom
react-faux-dom,4.2.0,4.5.0,4.5.0,react-faux-dom
react-is,16.13.1,16.13.1,18.2.0,react-is
react-popper,0.7.4,0.7.4,2.3.0,react-popper
react-router-config,1.0.0-beta.4,1.0.0-beta.4,5.1.1,react-router-config
react-router-dom,4.3.1,4.3.1,6.15.0,react-router-dom
react-transition-group,2.4.0,2.9.0,4.4.5,react-transition-group
reactstrap,6.4.0,6.5.0,9.2.0,reactstrap
rfdc,1.1.4,1.3.0,1.3.0,rfdc
shelljs,0.8.3,0.8.5,0.8.5,shelljs
stacktrace-js,2.0.0,2.0.2,2.0.2,stacktrace-js
terser-brunch,4.0.0,4.1.0,4.1.0,terser-brunch
tracer,0.9.1,0.9.9,1.1.6,tracer
